"FIBX","FIBY","X","Y","One","Two","Three"
-0.0035596875,6.34375e-05,0.0035845,-0.002203375,1.622045,0.5240558,0.1779642
-0.0035596875,6.34375e-05,0.0035845,-0.002203375,-0.4192083,0.2468169,-0.1421419
-0.0035596875,6.34375e-05,0.0035845,-0.002203375,-0.1620487,0.1024093,0.4139724
-0.003559765625,6.34375e-05,0.0035845,-0.002203375,1.150435,0.5252746,-0.0218912
-0.0035596875,6.34375e-05,0.0035845,-0.002203375,-1.052966,-0.008486238,0.4038171
-0.0035596875,6.34375e-05,0.0035845,-0.002203375,0.9591091,0.3473541,0.4476879
-0.0035596875,6.34375e-05,0.0035845,-0.002203375,0.2449894,0.2358493,0.6747595
-0.003559765625,6.34375e-05,0.0035845,-0.002203375,-0.862839,0.4887156,0.4456569
-0.0035596875,6.34375e-05,0.0035845,-0.002203375,1.494089,-0.06393789,0.2323965
-0.003559765625,6.34375e-05,0.0035845,-0.002203375,-0.4118957,0.132875,0.3225752
-0.0035596875,6.34375e-05,0.0035845,-0.002203375,-1.031029,0.1499359,0.2612373
-0.003559765625,6.34375e-05,0.0035845,-0.002203375,1.314949,0.6093601,0.200712
-0.0035596875,6.34375e-05,0.0035845,-0.002203375,0.6629806,0.3973182,0.4858717
-0.0035596875,6.34375e-05,0.0035845,-0.002203375,-0.9981228,0.6044854,0.2900783
-0.0035596875,6.34375e-05,0.0035845,-0.002203375,0.09875357,0.5100416,0.244989
-0.003559765625,6.34375e-05,0.0035845,-0.002203375,1.26133,0.400974,0.1491233
-0.0035596875,6.34375e-05,0.0035845,-0.002203375,-0.1230481,0.07133412,0.1775581
-0.003559765625,6.34375e-05,0.0035845,-0.002203375,-1.03103,0.5660987,0.2766735
-0.0035596875,6.34375e-05,0.0035845,-0.002203375,-0.7763066,0.03477518,-0.3497379
-0.003559765625,6.34375e-05,0.0035845,-0.002203375,0.8226217,0.2346308,0.08291105
-0.0035596875,6.34375e-05,0.0035845,-0.002203375,0.4326592,0.4271746,0.2539255
-0.0035596875,6.34375e-05,0.0035845,-0.002203375,-0.8287133,0.2431612,-0.7299919
-0.0035596875,6.34375e-05,0.0035845,-0.002203375,1.072442,0.605095,1.186178
-0.0035596875,6.34375e-05,0.0035845,-0.002203375,0.5264941,0.1334843,0.00166899
-0.003559765625,6.34375e-05,0.0035845,-0.002203375,-0.5837419,0.4679988,0.1507481
-0.0035596875,6.34375e-05,0.0035845,-0.002203375,1.223551,0.3461355,-0.5983656
-0.0035596875,6.34375e-05,0.0035845,-0.002203375,-0.310738,0.1864949,0.382288
-0.0035596875,6.34375e-05,0.0035845,-0.002203375,0.2803299,0.6057044,1.081782
-0.0035596875,6.34375e-05,0.0035845,-0.002203375,1.251581,0.04939881,-0.1648921
-0.0035596875,6.34375e-05,0.0035845,-0.002203375,-0.9505903,0.5252745,-0.007267634
-0.0035596875,6.34375e-05,0.0035845,-0.002203375,1.152871,0.4076763,0.3172943
-0.0035596875,6.34375e-05,0.0035845,-0.002203375,0.06706906,0.05792919,-0.1482356
