V1,V2,V3,V4,V5
-0.00355984375,6.3203125e-05,0.003595875,-0.002211125,0.2336144
-0.00355984375,6.3203125e-05,0.003601,-0.00221575,0.5752365
-0.00355984375,6.3203125e-05,0.003606375,-0.00222025,0.6855225
-0.00355984375,6.3203125e-05,0.003611625,-0.002225125,0.58518875
-0.00355984375,6.3203125e-05,0.003616875,-0.00223,0.4629197
-0.00355984375,6.3203125e-05,0.003622125,-0.00223475,0.50922735
-0.00355984375,6.3203125e-05,0.003627375,-0.002239625,1.1244315
-0.00355984375,6.3203125e-05,0.003632875,-0.0022445,0.7620928
-0.00355984375,6.3203125e-05,0.00363825,-0.00224925,1.416091
-0.00355984375,6.3203125e-05,0.003643625,-0.00225425,2.490921
-0.00355984375,6.3203125e-05,0.003648875,-0.00225875,3.196303
-0.00355984375,6.3203125e-05,0.003654375,-0.00226375,4.076762
-0.00355984375,6.3203125e-05,0.0036595,-0.0022685,4.3718745
-0.00355984375,6.3203125e-05,0.00366475,-0.00227325,4.5300905
-0.00355984375,6.3203125e-05,0.00367025,-0.002277875,4.102761
-0.00355984375,6.3203125e-05,0.003675625,-0.0022825,3.7046745
-0.00355984375,6.3203125e-05,0.003680875,-0.00228725,2.559976
-0.00355984375,6.3203125e-05,0.0036865,-0.002292,1.5777615
-0.00355984375,6.3203125e-05,0.003692375,-0.002296875,1.390093
-0.00355984375,6.3203125e-05,0.00369775,-0.00230175,0.80129265
-0.00355984375,6.3203125e-05,0.003702875,-0.0023065,0.7990583
