V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21
0.3029496439,0.2692893518,0.5203217152,0.6261951657,0.493942672,0.4811416886,0.7485624671,1.2285434648,1.640517066,2.39415359,3.12665416,3.99203914,4.47405138,4.68803359,4.25856534,3.51647378,2.6306771,1.782702721,1.2489827536,0.8227484558,0.6058945265
0.4323497802,0.405582346,0.5077460472,0.5301386218,0.5005833328,0.54663187195,0.87135028562,1.0064381829,1.687214952,2.30394659,3.11735587,4.06604637,4.46483427,4.67237842,4.26623871,3.67039063,2.68986994,1.736354318,1.3688965854,0.819356614,0.79808224184
0.4366988356,0.4631445945,0.407250312,0.4311612217,0.5115823905,0.46167016916,0.64670557742,0.8655432346,1.583310544,2.37361966,3.12957072,4.07389449,4.46625611,4.64886703,4.17258708,3.51623004,2.71636289,1.642097455,1.1765550534,0.8414096558,0.49856118602
0.3463526487,0.3363980734,0.413792026,0.4713672345,0.4802051362,0.58990612621,0.81444889312,1.0001920279,1.656651711,2.36410219,3.18730123,4.07621392,4.39793174,4.57165036,4.16263917,3.56629524,2.66109813,1.870212558,1.2335916778,0.7812622598,0.68305209799
0.4059314131,0.3564574765,0.4588482418,0.5062885623,0.4163417058,0.5941971164,0.6676008337,1.1141568222,1.660372553,2.27575978,3.12962756,4.0733012,4.37701598,4.56803937,4.23732883,3.56459351,2.67770003,1.87718715,1.190089772,0.8350728536,0.4653912362
0.3533039064,0.3710737984,0.5176410242,0.3995384062,0.3906301094,0.71218899148,0.51747520612,1.0268503789,1.691731867,2.43876348,3.13085848,4.0353939,4.52288165,4.62219139,4.28094749,3.57186049,2.70436338,1.928649758,1.279717045,0.8285815904,0.67279105465
0.2998729304,0.5632674118,0.484271808,0.530812901,0.5527435182,0.59563918545,0.84892534072,1.1409524548,1.522513221,2.34546534,3.0546291,4.02768802,4.46275871,4.68886633,4.22899328,3.56991461,2.68225352,1.718261733,1.366841124,0.823138392,0.52507486742
0.4220523218,0.360932258,0.448375401,0.4936471278,0.4423519666,0.5253876946,0.66653608462,1.1468252125,1.586718643,2.36697416,3.16116978,4.05128881,4.60782,4.75682924,4.23766599,3.59003825,2.56469652,2.118759999,1.2760894592,0.8019261828,0.71751150975
0.3364388775,0.3084898227,0.479895813,0.569481784,0.3842382446,0.53807948447,0.6145132868,1.1052402252,1.598043825,2.44838249,3.07818933,4.03034464,4.39912989,4.67369034,4.10956389,3.57868072,2.56929894,1.759345762,1.1755642546,0.8259046758,0.67552467383
0.3905534461,0.3757673228,0.3032452416,0.5494653842,0.4159935778,0.61224560651,0.72622051212,1.1781608634,1.618350201,2.41802645,3.0434951,4.01696422,4.48284579,4.64083213,4.24276414,3.51755857,2.56964423,1.919709131,1.1724282686,0.7854015176,0.6208934521
0.3114173999,0.5042002546,0.5255996714,0.6258227073,0.4601350446,0.5521706376,0.73476876152,1.0864907704,1.695066894,2.43206919,3.17902668,4.00575683,4.59480917,4.66032616,4.21170118,3.69007549,2.66083408,1.861694216,1.216230847,0.8600140976,0.51968866153
0.3175933537,0.5200034959,0.517624511,0.4287937393,0.4298391972,0.56169096174,0.7235474468,0.8403162514,1.473942668,2.3429429,3.06809098,4.03284675,4.42806421,4.7017757,4.2102305,3.59464877,2.69573154,1.815642288,1.1560334608,0.78942704,0.67212470291
0.4061649387,0.3512754994,0.6783094676,0.4253295478,0.4006594105,0.54814448179,0.879853559,1.3007166054,1.567882742,2.38600503,3.14006322,4.04688967,4.39066052,4.61398153,4.20587611,3.63506263,2.85078169,1.974096483,1.2201788296,0.820745888,0.61713916478
0.3204802872,0.3269684705,0.581530247,0.4513284596,0.4637021538,0.56073684873,0.6799765317,1.046783738,1.533765184,2.39064393,3.18661066,4.06435259,4.41896104,4.54618528,4.2570382,3.60319952,2.61546455,1.73888078,1.2854692982,0.884285078,0.6068599866
0.302061462,0.449671164,0.5031111748,0.6529472799,0.5786617855,0.63983496892,0.81910133812,1.1501842993,1.664536283,2.38765016,3.06336253,3.9960565,4.52169537,4.68949193,4.27623966,3.67078857,2.60704381,1.758878622,1.2160224382,0.7967916354,0.59757059314
0.4193224233,0.3677943488,0.5400797312,0.6236501948,0.5640670232,0.57769026011,0.8759552647,1.327993259,1.588225751,2.32722649,3.12123128,4.04000844,4.64952146,4.6995012,4.30029164,3.52718553,2.58536033,1.757854835,1.2250929918,0.7938669366,0.59302596006
0.3098009829,0.4535454739,0.339554069,0.4628359208,0.4065493389,0.58891157327,0.8531752584,1.0767575568,1.608836825,2.42639845,3.21679209,4.08446825,4.50008935,4.78044234,4.23428221,3.59755723,2.62702928,1.86764113,1.1938807182,0.7873594456,0.61770813832
0.3467994328,0.3896761713,0.4117938922,0.4268214161,0.5135108172,0.60554606505,0.83705717032,0.994483731,1.623886843,2.31846865,3.05871566,4.0530763,4.52370619,4.71328766,4.28978279,3.70916323,2.70863684,1.640033865,1.2331572076,0.8508581248,0.54226067398
0.3693087571,0.3437852212,0.4132927384,0.6107459117,0.3746421432,0.52837186547,0.65067439458,1.0553272917,1.63015871,2.37144237,3.1318293,4.02866304,4.5499961,4.62308877,4.13626389,3.65389843,2.63515349,1.910606011,1.3589277144,0.8162978378,0.60405067114
0.4182350894,0.3607219652,0.5789888896,0.4446519416,0.5080703871,0.52661025965,0.89459131992,1.1645236222,1.711961147,2.43626138,3.1559702,3.97321142,4.45079524,4.62111483,4.28072437,3.65566538,2.64922049,1.997006707,1.3085055334,0.9071953106,0.64246415134
0.3487913284,0.425529161,0.502332634,0.4601481639,0.4226754638,0.58929236098,0.80101493212,1.1332911349,1.523691164,2.33955903,3.10550684,4.06593289,4.5550453,4.68465398,4.31151062,3.59448235,2.62657432,1.802359254,1.22374488,0.86132615,0.61875861042
0.3531215609,0.4586461432,0.5281712186,0.6682564605,0.4484524802,0.53374795552,0.62144237802,1.0909472552,1.663431324,2.39167584,3.20316373,4.09162549,4.53025028,4.61860845,4.39681474,3.67447297,2.61705672,1.651663616,1.1976086102,0.7685600598,0.75427951632
0.3507810508,0.3636189988,0.5684172476,0.5356968914,0.3557926223,0.59783614408,0.62465355802,1.1007054093,1.550021734,2.34380794,3.10994267,4.03667342,4.50017466,4.69932633,4.29758598,3.50960889,2.54105908,1.749998788,1.2901733248,0.8331393014,0.55237010437
0.2545773099,0.463872172,0.486442792,0.375238181,0.4569822699,0.67600098784,0.62023890654,1.0328269741,1.541296263,2.31487383,3.11217693,4.11318299,4.54871652,4.62969398,4.27329876,3.69373934,2.53447434,1.824335187,1.2971601626,0.7630437598,0.73031844136
0.3925191871,0.4521959299,0.3404996886,0.5127998834,0.4968860168,0.5389182484,0.71725082634,1.0961940588,1.459977291,2.28286026,3.09719188,4.04102805,4.47465238,4.70767394,4.27841253,3.61087685,2.63256597,1.753086026,1.2649750492,0.822659105,0.75368148736
0.3892671666,0.3837683202,0.4274304294,0.5853490355,0.5055706121,0.54875012327,0.77511125494,1.2437511114,1.752768957,2.43990906,3.19935341,3.97137116,4.49641704,4.61336837,4.16125394,3.62158461,2.58534811,1.852591118,1.1522806254,0.8379122488,0.7635238398
0.3336454562,0.3762344389,0.6783211462,0.4389700428,0.4967455505,0.50718197494,0.76978472334,1.0566760045,1.612809464,2.49460513,3.06455692,4.09226335,4.49816388,4.69002821,4.26219287,3.57970424,2.80245081,1.817462095,1.1166634362,0.847348494,0.67227737723
0.4275064646,0.4973408805,0.3827915972,0.5039859961,0.4849550881,0.58905820832,0.8081528775,1.0974672697,1.570181881,2.35878491,3.00714329,4.01214657,4.43382006,4.64667354,4.26179884,3.55880482,2.66299511,2.012808183,1.2481948936,0.8533726094,0.55004990532
0.3882299935,0.4381832862,0.5504048654,0.5260852392,0.3965118284,0.52353939468,0.61042710396,1.1886247707,1.699527084,2.30750912,3.15429669,4.04621952,4.53705851,4.56561443,4.19185782,3.63874688,2.58337396,1.860036941,1.171811082,0.793180446,0.51665034558
0.4794560006,0.4088869593,0.463690069,0.4678341508,0.4644243832,0.55888148947,0.6982163755,1.0453668664,1.583318693,2.38319813,3.15746513,3.98288717,4.46927827,4.70364819,4.13951364,3.64345472,2.6349179,1.714244246,1.23922153,0.825859965,0.63260340535
0.4569297361,0.4443924315,0.490016009,0.5682701279,0.4513106571,0.60176845748,0.5198673128,1.0389768888,1.547986636,2.33784887,3.19314252,4.02823247,4.56595613,4.55231106,4.25552712,3.61320034,2.77677034,1.732771483,1.3050069734,0.835600917,0.7135018911
0.3247329343,0.3080497143,0.4134155694,0.521133672,0.5050817985,0.5774998146,0.70558998362,1.0064629768,1.486579954,2.34876375,3.15224123,4.09363239,4.60361582,4.72792763,4.12615729,3.59252024,2.80626921,1.740558512,1.3457748424,0.7896423818,0.72330452036
0.3822790681,0.3695556991,0.3222779562,0.5894618384,0.4092731028,0.47340016352,0.58483467064,1.2600318634,1.752610581,2.30360547,3.11336688,4.03889551,4.5296043,4.62689517,4.14282022,3.6642326,2.57137855,1.781146952,1.3075302026,0.852946096,0.69529175359
0.3359005811,0.408954372,0.2666559312,0.4854799669,0.4890207327,0.48235677628,0.9135787718,1.0292353764,1.535804343,2.32872542,3.13446555,4.15507951,4.48551831,4.76126508,4.32119077,3.59923083,2.54430879,1.889052492,1.2180301662,0.78268805,0.51001483834
0.3970734181,0.3619356457,0.450262696,0.5379489037,0.5600807853,0.58299763469,0.9012124631,1.2020627597,1.493481417,2.37683283,3.18276381,4.0459229,4.44176573,4.48637916,4.2368007,3.6218323,2.47572028,1.79687535,1.2238628144,0.827517376,0.66692705487
0.3137985586,0.4510264021,0.4413191292,0.4621672709,0.5574058303,0.5292389055,0.84357203604,1.1145526695,1.68862048,2.34043634,3.27252788,4.04617477,4.39954017,4.62120004,4.18259211,3.53747063,2.72369091,1.733762651,1.3727799508,0.822220355,0.55972743775
0.3255764552,0.3589369823,0.6016102682,0.3088189771,0.462708135,0.61200334145,0.75293109034,1.0997623366,1.602471368,2.36194523,3.17862453,4.01551792,4.48002652,4.77893528,4.23651656,3.68285717,2.66711412,1.763960134,1.198795932,0.8400285818,0.73136403709
0.2660677509,0.3089458936,0.4335379446,0.5215683863,0.3267749402,0.6575305539,0.56669086894,1.1156571305,1.629512813,2.37322968,3.1861721,4.04363993,4.5092737,4.61046397,4.20593696,3.6152637,2.59779843,1.721352836,1.3681039296,0.838058473,0.70743686333
0.2783404427,0.3974049814,0.4606211948,0.4651841317,0.4007448047,0.59891270378,0.73346719702,1.1842741842,1.523467737,2.37861595,3.0129886,3.99855882,4.60753575,4.71409996,4.15975508,3.61400077,2.72643282,1.835180887,1.2423694236,0.8535553828,0.69723641028
0.3630595038,0.3840687217,0.3606569208,0.6857371648,0.4471893891,0.54350511309,0.7316203738,1.1552187082,1.534557347,2.27265236,3.16924527,4.02594969,4.56795064,4.71120389,4.28745912,3.61139273,2.53630235,1.927357925,1.244091494,0.7935053828,0.50828538606
0.3422853197,0.3706080601,0.4798549324,0.4121954973,0.4811431627,0.67164194377,0.47277278334,1.0684025061,1.539793352,2.3552184,3.20223758,4.04415585,4.43300783,4.7194623,4.25196045,3.60646138,2.65240519,1.66587689,1.247792411,0.865782323,0.71330364151
0.4349743033,0.317454376,0.4881258826,0.466926404,0.4052908077,0.63631005471,0.8646780438,1.2912006353,1.592763095,2.28124352,3.05869942,3.99339188,4.53287028,4.62661463,4.30079498,3.66480527,2.64034904,1.742995776,1.1710193676,0.7872132628,0.61628732005
0.4111563615,0.3020999902,0.4750855512,0.349910602,0.4415266913,0.43542423419,0.8036573655,1.2388276203,1.708719642,2.3732745,3.21866064,4.04664186,4.49011264,4.63501103,4.1896642,3.58627678,2.70134937,1.713411518,1.1310432496,0.826115905,0.7015000606
0.3966925393,0.4957402634,0.4817994588,0.6803856527,0.4942273856,0.74602143318,0.57550567502,1.2276242395,1.677453712,2.28808015,3.15678683,4.04039451,4.43385259,4.68291147,4.17717739,3.63532657,2.65188127,1.888284665,1.374664983,0.8150995088,0.57975565457
0.2548976466,0.2199608515,0.6051215132,0.3352061024,0.448354357,0.6517825917,0.69190243472,0.776420649,1.598900991,2.32880257,3.11933013,3.96943366,4.530291,4.62175262,4.20508002,3.60850459,2.67915814,1.651732775,1.3339485406,0.843034563,0.63615765264
0.360753062,0.5336448818,0.5782231626,0.5371541202,0.3348181649,0.65023098045,0.48367985726,1.132259069,1.599790398,2.31922011,3.22160143,4.01312958,4.45842024,4.65818955,4.33014773,3.54156111,2.63938214,1.884710085,1.240780849,0.7919618256,0.59774392925
0.4354040636,0.4064030195,0.4649651276,0.4922356432,0.599318813,0.61039987236,0.82647902332,1.0995177257,1.82435526,2.40968697,3.14646079,4.01938105,4.51578107,4.6512959,4.09468841,3.68653727,2.57870261,1.791915539,1.4531929776,0.8128003496,0.71238014485
0.3427378255,0.3197315019,0.5882770716,0.5676419073,0.3856573651,0.5493989523,0.68207657864,0.9788241147,1.683246195,2.45155917,3.04468512,4.11823639,4.49753005,4.64616561,4.18150773,3.6113562,2.60761656,1.929068207,1.286179009,0.8231140286,0.53276062181
0.2995074033,0.3380310509,0.4036314238,0.5050308496,0.4527635356,0.57872663911,0.65507804702,1.1956724384,1.689924246,2.38378314,3.09461651,4.05916528,4.41611368,4.70144273,4.25719236,3.57593062,2.63329302,1.785188791,1.2532029796,0.8142545922,0.66787578438
0.2933057938,0.43483686,0.6273926818,0.4049911308,0.4277039952,0.64015866433,0.86124509232,1.127140617,1.628334869,2.39893477,3.11975266,4.12318385,4.75399451,4.71301153,4.30863892,3.61044212,2.68280594,1.89608395,1.267237654,0.8346625918,0.79757428795
0.3958942376,0.28715081,0.5552650876,0.36758701,0.3952358529,0.53496730377,0.8678980184,1.1595247099,1.550594405,2.31402065,3.10688398,4.06981204,4.48804502,4.65756778,4.31169771,3.64849183,2.60714139,1.654044079,1.2502661574,0.8168746838,0.68698456484
0.4211831176,0.4098654732,0.4691546774,0.4339401766,0.4484755705,0.64986927587,0.76848984762,1.0856051246,1.647410463,2.33380715,3.13041164,4.04423689,4.48199254,4.73008856,4.24448222,3.64018068,2.67210231,1.859642945,1.2026666606,0.873947078,0.62139900431
0.2813180906,0.3872415437,0.5582469028,0.4461569857,0.4106819001,0.54590905741,0.66124305482,1.1053559358,1.577379951,2.3331044,3.15426425,4.07565345,4.52948259,4.68642902,4.23874259,3.64386911,2.60455383,2.020936587,1.1341515452,0.8056876408,0.69091151698
0.3132737394,0.4777938412,0.5010958764,0.420690418,0.4191936445,0.56682218712,0.7425150374,1.1384549845,1.635021129,2.32185226,3.10231006,4.03487794,4.50504522,4.58498233,4.22215695,3.59484399,2.69046296,1.696419796,1.3323983568,0.870441509,0.62252545375
0.3663296113,0.448119941,0.5382915146,0.4933880799,0.5523902754,0.59329056411,0.7151008842,1.3407599297,1.663398776,2.32807943,3.14027437,4.06289019,4.58931706,4.61976622,4.19982769,3.70897225,2.54538124,1.669106221,1.3045965092,0.8466336126,0.73022133178
0.3717551612,0.3677524289,0.3509234034,0.5927360313,0.4076733115,0.5391618398,0.5765303971,1.1478443663,1.630763991,2.41212433,3.1254842,4.02100195,4.49571047,4.63128201,4.20968614,3.56823305,2.61461158,1.83371046,1.2913057032,0.8558138868,0.71276623759
0.3106391869,0.4288030107,0.6816172776,0.4927034645,0.4368961051,0.51146803852,0.72232130742,1.1862246151,1.568077629,2.30860182,3.12907118,4.03876136,4.49619783,4.73332199,4.24552219,3.55070098,2.53891446,1.677677284,1.2342985016,0.860351284,0.72716942702
0.3733093198,0.5046586982,0.2590100402,0.6311187054,0.5500855946,0.5413482645,0.7604039281,1.0601480062,1.514352468,2.32761644,3.15553161,4.07768035,4.5264197,4.61431067,4.1194552,3.61195756,2.59805031,1.876090327,1.3235465586,0.8133162858,0.6493089508
0.3764262344,0.4894842973,0.6498392356,0.5907191904,0.3719303475,0.51314073286,0.75426585602,1.1169442381,1.559116768,2.4245787,3.16082043,4.00554993,4.51311257,4.70695879,4.29254089,3.54414068,2.58615645,1.856271378,1.0614024854,0.8541809178,0.58745517108
0.4005136097,0.3583785151,0.7269194814,0.444477901,0.4550169849,0.59091914578,0.89164319936,1.1600681871,1.635021093,2.37400568,3.17140208,4.05773534,4.5391463,4.63992625,4.17605998,3.5655601,2.63110764,1.742544997,1.2472400376,0.828179453,0.62318402668
0.3450206875,0.4363198404,0.5038781758,0.5525988739,0.4243089008,0.49751623918,0.64794802242,1.1863665925,1.57548696,2.35015704,3.24293556,4.06003455,4.42472937,4.62052595,4.26824165,3.56429687,2.75168268,1.65253696,1.2310970464,0.8095181878,0.64057235208
0.4407443796,0.4300496628,0.4888310316,0.5065342295,0.4654276622,0.56227280318,0.85327854004,1.0226144842,1.700847261,2.47561071,3.07907473,3.92488478,4.54289551,4.54181849,4.27383079,3.67414403,2.62254887,1.920456582,1.2155766524,0.8152376228,0.7904893704
0.4278900814,0.3286299295,0.6303500802,0.5266233321,0.4629943727,0.45158406109,0.75119259802,1.2593990863,1.634346767,2.39838216,3.1723812,4.0002487,4.3625385,4.64186401,4.29900379,3.56511337,2.62607872,2.017816864,1.226397731,0.814616132,0.54534237385
0.3531077089,0.3750644602,0.5412339506,0.3074677866,0.4673197473,0.52065566313,0.5034585457,1.204462868,1.628338906,2.36922863,3.11460595,4.09678428,4.49743674,4.71830027,4.18184045,3.63931952,2.58119268,1.90547953,1.2496244296,0.7538959404,0.49930440012
0.342335375,0.487793355,0.5783354678,0.277052252,0.4427362959,0.58776798301,0.78378191732,1.0689708676,1.553190177,2.37913604,3.12465553,4.02093282,4.47394948,4.65167393,4.19916946,3.51665241,2.63597411,1.826610041,1.1937502562,0.87116054,0.6184664832
0.2758525891,0.4282943826,0.5738975462,0.4050724354,0.4153696649,0.6257794647,0.74628196694,1.1610673682,1.526319416,2.30874393,3.14956856,4.03160399,4.48823986,4.64389891,4.23708913,3.64922302,2.75436801,1.838361636,1.2645407992,0.8658066436,0.61411519639
0.2324973225,0.2911673863,0.5078635306,0.5271452781,0.470095081,0.57610254358,0.7637483923,1.2088067552,1.525811561,2.31001937,3.14676951,4.02873623,4.52590407,4.6372616,4.27711302,3.6373212,2.61602901,1.908497663,1.3247536938,0.723832336,0.61472658315
0.4464658659,0.4679549066,0.3754363566,0.4932252128,0.3662044924,0.63981975726,0.72617167282,1.0427592265,1.631466652,2.29490035,3.2095615,4.01679332,4.5181778,4.71207727,4.32804767,3.54778818,2.59222528,1.881163815,1.2426295686,0.8197302956,0.56440300355
0.4064186269,0.3161841633,0.4813408478,0.4056104138,0.4374980314,0.58389863054,0.88581595662,0.9911085054,1.707915377,2.32555287,3.20624677,4.01522169,4.48596934,4.65093459,4.2012371,3.66222177,2.58212695,1.807579021,1.335217754,0.8241620056,0.62071114469
0.3548434709,0.4067716157,0.3464277006,0.4595669307,0.5948862115,0.67594622081,0.80065622702,1.1628659841,1.694815152,2.28988775,3.21714525,4.04420049,4.36067019,4.58187906,4.20374369,3.57236006,2.68705092,1.940900991,1.2278359508,0.8716642218,0.66791518572
0.2582009288,0.4672422124,0.5354527158,0.4233451442,0.4786340512,0.52483604445,0.8370504441,1.0117846159,1.674000997,2.34306469,3.08663443,4.01070456,4.4442843,4.61948198,4.11620513,3.6531632,2.6247667,1.824310811,1.3237747048,0.801365537,0.73368934324
0.3657246876,0.4086316106,0.4484334366,0.340121597,0.4410764357,0.64827270216,0.74172478034,1.1075620945,1.57835075,2.2706984,3.24245636,3.95557769,4.48158638,4.56760463,4.20650177,3.66565014,2.64332644,1.818457252,1.1121183526,0.7883628166,0.60829720078
